queries,files
Dolby-Audio-Premium-Sound,Laptop.json
Part-Number-90NB0MK1-M02570,Laptop.json
Part-Number-80xl03r9ih,Laptop.json
Part-Number-NS14A2IN241P,Laptop.json
Part-Number-80YL00R8IN,Laptop.json
Model-Name-VivoBook-X512FA-EJ372T,Laptop.json
"Asus-Splendid,-ICEsound",Laptop.json
Dimensions-384-x-262-x-23-mm,Laptop.json
Intel-HM470,Laptop.json
Chiclet-keyboard,Laptop.json
GL62M-7REX,Laptop.json
TPM-2.0,Laptop.json
Wireless-LAN-IEEE-802.11b/g/n/a/c,Laptop.json
135-W-AC-Adapter,Laptop.json
Part-Number-NS13A1IN014P,Laptop.json
Part-Number-81W800HDIN,Laptop.json
Model-Number-M509DA-EJ581T,Laptop.json
USB-Port-1-x-USB-3.1-(1st-Gen),Laptop.json
manufacturing-defects,Laptop.json
Backlit-Keyboard-No,Laptop.json
Champagne-Gold,Laptop.json
Multigesture-Touchpad,Laptop.json
Model-Number-13-ap0121TU,Laptop.json
Built-in-Microphone,Laptop.json
Anti-Glare-Display,Laptop.json
0.78-kg,Laptop.json
"JBL-Spekers,-Dolby-Atmos",Laptop.json
Gun-Metal,Laptop.json
Model-Number-15-EC0098AX,Laptop.json
Screen-Resolution-1920-x-1080-pixel,Laptop.json
Model-Number-IP-320-15IKB,Laptop.json
1.6-GHz,Laptop.json
720p-FaceTime-HD-Camera,Laptop.json
Weight-0.774-kg,Laptop.json
Chipset-QM87,Laptop.json
Ethernet-Killer-E2500,Laptop.json
Pearl-White,Laptop.json
Number-of-Cores-2,Laptop.json
2.4-GHz,Laptop.json
Model-Number-130-15IKB,Laptop.json
Graphic-Processor,Laptop.json
2-x-USB-Type-C,Laptop.json
Model-Number-Y530-15ICH,Laptop.json
Model-Number-GS65-Stealth-9SE-636IN,Laptop.json
2.3-kg,Laptop.json
Model-Number-G531GT-AL271T,Laptop.json
Processor-Variant-1035G1,Laptop.json
Legion-Y-Series,Laptop.json
Physical-Damages,Laptop.json
IP-320,Laptop.json
Charcoal-Blue,Laptop.json
Upto-11-hours,Laptop.json
Color-Black,Laptop.json
Wedge-Lock-Slot,Laptop.json
SSD-No,Laptop.json
4RJ78PA,Laptop.json
Upto-6-Hrs.,Laptop.json
"My-Asus,-Splendid",Laptop.json
Model-Number-X509FJ-EJ502T,Laptop.json
1-x-HDMI,Laptop.json
Model-Number-insp-7386,Laptop.json
Part-Number-90NB0KR2-M07760,Laptop.json
1.59-kg,Laptop.json
Processor-Variant-NA,Laptop.json
1.62-kg,Laptop.json
Series-GE,Laptop.json
Part-Number-90NR01J3-M09730,Laptop.json
Dimensions-357-x-247-x-18-mm,Laptop.json
Ethernet-NO,Laptop.json
ThinkPad-E14,Laptop.json
Part-Number-NS13A1IN019P,Laptop.json
2-x-1-W-Stereo-Speakers,Laptop.json
Dock-Port-Yes,Laptop.json
Dimensions-378-x-260-x-22.9-mm,Laptop.json
Built-in-Webcam,Laptop.json
Hardware-Interface-sata,Laptop.json
CD/DVD-writer,Laptop.json
Model-Number-X509JB-EJ592T,Laptop.json
33-WHr-Li-ion-Battery,Laptop.json
Dedicated-Graphic-Memory-Capacity-3-GB,Laptop.json
Dimensions-360-x-275-x-25.8-mm,Laptop.json
RJ45-Yes,Laptop.json
Chipset-Intel,Laptop.json
GF63-Thin,Laptop.json
Part-Number-81LK01J6IN,Laptop.json
SQ1-Octa-Core,Laptop.json
Ryzen-5-Hexa-Core,Laptop.json
Dimensions-363-x-254.6-x-23.9-mm,Laptop.json
UP-TO-3-HOURS,Laptop.json
Part-Number-90NB0M21-M05770,Laptop.json
Ethernet-10/100/1000-Gigabit,Laptop.json
45-WHr-Li-ion-Battery,Laptop.json
MacBook-Pro,Laptop.json
Carry-in,Laptop.json
IR-Webcam,Laptop.json
130-W-AC-Adapter,Laptop.json
Ideapad-510,Laptop.json
Dimensions-361.2-x-250-x-19.3-mm,Laptop.json
Supported-Operating-System,Laptop.json
NX.HSESI.001,Laptop.json
Model-Number-330S-15IKB,Laptop.json
Core-i3,Laptop.json
Part-Number-90NR0GN1-M02270,Laptop.json
Part-Number-WHT-C566518WIN9,Laptop.json
Screen-Resolution-1920*10180-pixel,Laptop.json
Model-Number-X543UB-DM582T,Laptop.json
Part-Number-9S7-16J952-1065,Laptop.json
Dimensions-388.6-x-275.6-x-24.9-mm,Laptop.json
150-W-AC-Adapter,Laptop.json
Touchpad-(Glass-Covered),Laptop.json
Wireless-LAN-Intel-Wi-Fi-6-AX201-(2x2),Laptop.json
Widescreen-HD-720P-Webcam,Laptop.json
up-to-16-GB-SDRAM,Laptop.json
"USB-Port-2-x-USB-3.0,-1-x-USB-Type-C",Laptop.json
Model-Number-15IMH05,Laptop.json
Bronze,Laptop.json
Island-Style-Keyboard,Laptop.json
3-x-USB-3.0-Type-A,Laptop.json
Upto-14-hours,Laptop.json
Dimensions-324.6-x-229.6-x-9.98-mm,Laptop.json
Model-Number-NS14A2IN246P,Laptop.json
Cache-4-MB,Laptop.json
Single-Digital-Microphone,Laptop.json
Intel-Integrated-HD-520,Laptop.json
Dual-Array-Microphones,Laptop.json
Model-Number-15-dc0082TX,Laptop.json
4-x-2-W-Speakers,Laptop.json
Part-Number-NS13A1IN015P,Laptop.json
All-Parts-of-product,Laptop.json
Processor-Variant-7200U,Laptop.json
Part-Number-90NB0L91-M14160,Laptop.json
Mac-OS-Mojave,Laptop.json
Model-Number-UX580GE-E2032T,Laptop.json
Dimensions-365-x-254-x-21.6-mm,Laptop.json
Full-Sized-Backlit-Keyboard,Laptop.json
7LG86PA#ACJ,Laptop.json
Model-Name-X512FL-EJ701T(X512FL),Laptop.json
MQD32HN/A,Laptop.json
Poseidon-Blue,Laptop.json
1-Megapixel-Webcam,Laptop.json
2-Megapixel-Webcam,Laptop.json
Dimensions-358-x-242-x-17.9-mm,Laptop.json
Series-G,Laptop.json
Part-Number-81FV00KNIN,Laptop.json
Model-Number-15-cx0141TX,Laptop.json
Part-Number-NP14N1IN002P,Laptop.json
NVIDIA-Geforce-920MX,Laptop.json
Part-Number-81VV00FNIN,Laptop.json
Manufacturer-warranty,Laptop.json
Light-Grey,Laptop.json
HD-Web-Camera,Laptop.json
Part-Number-81Y400BNIN,Laptop.json
Model-Name-ELITE,Laptop.json
Series-Inspiron-3000,Laptop.json
Upto-10-hours,Laptop.json
Intel-Integrated-UHD620,Laptop.json
VivoBook-14,Laptop.json
2-x-Built-in-Stereo-Speakers,Laptop.json
Platinum,Laptop.json
Dimensions-341-x-236-x-17.95-mm,Laptop.json
English-Backlit-Keyboard,Laptop.json
Intel-HM370-Express,Laptop.json
Intel-Integrated,Laptop.json
Carry-In,Laptop.json
Built-in-Speaker,Laptop.json
Part-Number-81NG002BIN,Laptop.json
Upto-4-hrs,Laptop.json
